North Macedonia,150049.8129,138077.8247,185384.6885,190531.4452,197117.6379,204445.7948,210039.1317,212105.3631,218035.0127,226509.0572,213094.5207,222340.203
Mali,158756.3182,188305.637,230756.1375,229258.9851,237839.3206,244695.8967,250882.9059,255831.0572,259599.9008,263575.5618,252265.6242,251884.9501
Malta,9079.934495,15492.95414,19127.0582,19892.62079,20987.76228,22461.81915,22695.86873,24495.35149,25114.0045,25574.63169,22932.98301,25138.27391
Myanmar,202410.0215,338756.0222,1109163.058,1186608.169,1273244.581,1304461.743,1430186.669,1500969.384,1585653.133,1680750.096,1721661.756,1403413.28
Middle East & North Africa (excluding high income),,,,,,,,,,,,
Montenegro,,3737.415819,5056.570969,5230.919806,5319.060485,5496.312036,5657.104337,5923.253419,6225.490054,6480.500878,5494.915549,6199.075921
Mongolia,3488513.25,3068635.236,6648686.88,7285417.816,7703738.056,7722333.625,7669728.321,7928101.699,8358643.016,8640025.735,8091276.912,8092421.736
Northern Mariana Islands,,,14247.7893,14690.9342,15388.7689,16015.06387,20847.59353,25882.63124,21052.00382,18873.60103,,
Mozambique,7988.541896,10915.20093,19745.2282,20481.10862,21331.60425,22083.45449,22221.6301,22348.62004,22446.93596,22313.02771,21406.75867,21298.79213
Mauritania,47706.66699,43144.48181,50538.3916,51133.60154,51929.1086,53292.08711,52556.71331,54400.62122,55519.35659,56951.29782,54977.66314,54901.86662
Mauritius,141335.3884,210345.4129,318686.5565,328670.5346,340631.346,352735.0922,366107.686,380181.9188,395199.1928,406495.1637,347149.4911,359915.5657
Malawi,235802.9645,280977.5987,344047.7379,351920.7138,361749.6796,361758.3726,360804.1421,365257.1446,371194.3832,381056.1607,374000.5257,374385.2987
Malaysia,16638.49773,25237.26815,34021.91369,35057.84504,36590.97227,37881.73141,38993.09135,40679.78834,42092.50248,43407.85062,40516.39408,41304.08067
North America,,,,,,,,,,,,
Namibia,36815.85049,39711.86071,57664.81626,59879.25453,62437.24799,63967.40447,62869.50764,61139.95892,60731.2051,59213.29045,53526.00433,54056.12783
New Caledonia,1465350.873,1382591.536,,,,,,,,,,
Niger,272676.0155,230027.183,271976.4397,275701.9244,283104.7686,284438.6293,289358.9952,292423.1483,301856.8077,307973.6431,307240.183,300164.7602
Nigeria,227699.1411,207000.5104,352453.1267,365960.4212,378959.9293,379251.583,363881.6299,357659.7158,355548.1313,354611.417,339852.2796,343872.1483
