Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Korea, Rep.",6610.036508,12256.99357,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31721.29891,34997.78164
Kosovo,..,..,3410.85978,3704.784221,3902.676013,3520.766449,3759.560246,4009.380987,4384.048892,4416.108358,4310.811183,5269.783901
Kuwait,11002.06562,19490.83816,51277.66211,47760.94413,43234.82142,29310.52211,27029.99778,29263.08965,32007.52354,30667.34822,24300.32944,..
Kyrgyz Republic,609.1728912,279.6195693,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1182.5217,1276.700365
Lao PDR,200.6191428,318.7709228,1566.009745,1815.440236,1984.50867,2125.459057,2309.049076,2439.463355,2553.361866,2598.505523,2593.355097,2535.623432
Latvia,..,3361.640869,13847.33794,15007.49186,15742.39134,13786.4568,14331.75159,15695.11515,17865.03109,17945.22222,18207.13964,21148.16294
Lebanon,789.8503921,3994.861144,8500.180563,8255.209211,7665.379692,7802.751368,8172.299476,8679.897422,9225.845155,8985.572499,5599.957523,4136.146347
Lesotho,331.5264587,443.9517409,1205.860003,1141.361038,1165.045935,1113.871328,986.2659867,1062.712512,1161.7271,1102.56487,989.8471707,1094.098185
Liberia,..,301.8764697,644.4555767,717.6357533,713.7348824,699.6629469,722.1312268,706.892692,700.0370394,665.8784476,597.5296919,675.6631858
Libya,6821.324551,7424.202916,15764.91545,12589.44875,9408.767832,7867.571893,7944.827076,10529.26744,11838.00962,10542.14929,7568.042011,6357.19555
Liechtenstein,49416.52145,75212.04817,149459.2353,173660.1612,179457.9179,167805.9569,165844.9854,170874.2938,175283.6318,167019.6181,157754.9544,..
Lithuania,..,3293.229979,14367.70942,15729.65247,16551.0182,14263.96458,15008.31324,16885.40739,19186.35959,19595.14157,20339.52127,23723.34025
